schema,table,classification,before_count,after_count,total_bytes,index_bytes,rls_enabled,action
app_ops,data_cleanup_runs,private ops audit,0,1,49152,32768,true,created service-role-only cleanup audit table
auth,users,protected auth metadata,3,3,,,managed by Supabase Auth; aggregate count only
public,cart_items,protected cart state,171,171,147456,90112,true,preserved
public,carts,protected cart state,207,207,196608,131072,true,preserved
public,collections,catalog current state,4,4,49152,32768,true,kept active the-core and beyond-the-core; legacy collections remain inactive
public,loyalty_accounts,protected rewards state,3,3,24576,16384,true,preserved
public,loyalty_ledger_entries,protected rewards ledger,1,1,81920,65536,true,preserved
public,loyalty_redemptions,protected rewards state,0,0,40960,32768,true,preserved
public,order_items,protected order history,7,7,65536,49152,true,preserved
public,orders,protected order history,6,6,147456,131072,true,preserved
public,payment_attempts,protected payment history,6,6,98304,81920,true,preserved
public,private_feedback,protected feedback state,0,0,32768,24576,true,preserved
public,product_media,catalog current media,42,42,180224,90112,true,preserved; FK index added
public,product_relationships,catalog relationship state,30,30,49152,32768,true,verified complete_the_routine shape
public,product_sources,private catalog provenance,6,6,65536,16384,true,preserved service-only table
public,product_variants,catalog current variants,16,6,98304,81920,true,10 legacy variant rows cascaded from product cleanup; SKU guard added
public,products,catalog current products,12,6,319488,180224,true,6 archived legacy seed products hard-deleted after dependency checks
public,profiles,protected customer profile,3,3,32768,16384,true,preserved
public,referral_attributions,protected referral state,0,0,57344,49152,true,preserved; FK index added
public,referral_codes,protected referral state,3,3,65536,49152,true,preserved
public,referral_rewards,protected referral state,0,0,49152,40960,true,preserved; FK indexes added
public,stripe_customers,protected payment/customer state,1,1,65536,49152,true,preserved
public,stripe_webhook_events,protected webhook history,3,3,81920,49152,true,preserved service-only table
public,trustpilot_invitation_attempts,protected Trustpilot state,0,0,32768,24576,true,preserved; FK indexes added
storage,buckets,storage metadata read-only,1,1,,,inspected aggregate count only
storage,objects,storage metadata read-only,30,30,,,inspected aggregate count only
